userid,payment_amount,payment_date
b90a6273-37a4-4082-b0e7-916a7502f225,56,2018-01-03 14:11:59
7696fa6d-9f61-44e5-b38b-726461631683,46,2018-01-03 18:50:10
666e4f2f-ac77-416f-8932-b219ab61eeea,97,2018-01-03 20:08:15
7f920fab-f166-4f50-9667-9bfce267c735,67,2018-01-04 23:15:15
80108da1-eb03-467a-a297-b44f5724f9cb,61,2018-01-05 21:01:00
cfe1b2b8-cf3a-4e7b-b211-6dccc4ba08ee,65,2018-01-06 20:14:11
a2d4f53c-f353-4bc0-9640-e3d8203af78e,67,2018-01-08 22:25:09
1b317fd3-e9b7-4661-99d7-d7ae42a1e007,95,2018-01-12 00:17:42
bc1664e4-83d2-4a93-8bc7-5a353df97d14,53,2018-01-13 17:09:12
1b317fd3-e9b7-4661-99d7-d7ae42a1e007,90,2018-01-14 03:49:26
8e0b68d2-5449-4991-ad3e-fae5a8734981,33,2018-01-15 01:41:59
fbe7b364-b056-4a93-ab4a-1470077e9a4e,29,2018-01-17 01:38:46
d0bffcfe-82f6-48a3-a408-ba4f96a1e9af,33,2018-01-17 11:04:50
afc114e2-099f-40f4-a376-2909774a9a7f,24,2018-01-17 17:36:36
132fe2fc-8919-4d1a-aa67-0ed5d5c875ee,40,2018-01-19 21:56:29
132fe2fc-8919-4d1a-aa67-0ed5d5c875ee,49,2018-01-19 23:50:28
c11772f7-b140-4ddd-86ce-a14e8f37a4a7,48,2018-01-20 09:40:42
c2f9a906-0756-4e6e-b21c-7fe80931e42d,29,2018-01-20 14:41:17
23631745-9811-4e90-8cae-f429c831ee7d,68,2018-01-20 16:27:42
7dfbd71b-a880-41b5-8549-8deb07374988,85,2018-01-21 10:10:29
4c2047c8-c231-4699-95a4-dae918e96087,41,2018-01-21 18:50:45
c11a9aee-95eb-4863-8146-c4c3956d8a02,41,2018-01-22 02:08:01
5f775fa4-0d79-4300-8553-e3c17d7d0a0f,50,2018-01-22 02:31:42
1b317fd3-e9b7-4661-99d7-d7ae42a1e007,19,2018-01-22 13:44:16
dc1d4e1e-1e18-4dd2-a5c2-56f2c91f7820,37,2018-01-22 21:23:32
fe2c931c-4973-4c30-aec6-300aab577f02,66,2018-01-23 14:49:11
7dfbd71b-a880-41b5-8549-8deb07374988,96,2018-01-24 06:56:40
7f920fab-f166-4f50-9667-9bfce267c735,81,2018-01-24 21:28:23
b3a39b62-bbd1-46e0-8222-71bd9465fab5,5,2018-01-26 09:54:23
482520fb-8e69-48f4-8961-3b79e0bd9a44,33,2018-01-26 13:51:07
38bd2cb0-0a9f-47a6-8a0f-c36e8f80ee9c,63,2018-01-26 19:51:37
7d0a7207-fb42-41b6-b2b8-c49b3b6f6618,22,2018-01-26 22:00:57
e5a558eb-43dd-4aa8-90d4-281d1e9a3c97,38,2018-01-27 19:35:01
c2f9a906-0756-4e6e-b21c-7fe80931e42d,19,2018-01-28 04:24:50
523cde68-3d52-44ae-8e8d-cfd83ad877ca,11,2018-01-28 05:55:47
92690d8f-94db-4af8-9959-64367e388883,89,2018-01-28 09:11:57
482520fb-8e69-48f4-8961-3b79e0bd9a44,8,2018-01-28 09:32:05
a7221354-1cf2-474b-b0ec-c5d62aff2429,73,2018-01-30 10:20:23
d0bffcfe-82f6-48a3-a408-ba4f96a1e9af,61,2018-01-30 18:36:08
5f775fa4-0d79-4300-8553-e3c17d7d0a0f,67,2018-02-02 04:02:59
184e96cf-84ce-40df-93c7-b3a89572e175,15,2018-02-02 20:05:05
23631745-9811-4e90-8cae-f429c831ee7d,67,2018-02-03 00:08:15
7d0a7207-fb42-41b6-b2b8-c49b3b6f6618,62,2018-02-04 00:04:06
38b7aa6c-1235-482a-bca8-956f98c0dca6,12,2018-02-04 03:32:38
7dfde3d5-cbcc-4ee9-a20f-21aeb4040bd1,27,2018-02-04 11:50:58
fdd1ed13-4e10-4bae-8344-63501c51222f,90,2018-02-04 12:30:39
385fc5c2-299a-4f44-b79b-df22fc623278,44,2018-02-04 20:26:00
551e9c45-3490-49dc-8524-c97c5f2cce4f,61,2018-02-04 21:44:58
947ea6ee-ad41-49d4-a131-3b2fa18ca86b,70,2018-02-05 00:18:05
7d0a7207-fb42-41b6-b2b8-c49b3b6f6618,23,2018-02-05 10:31:48
53d3af82-a9cc-4b30-89b4-2755f9beaaed,77,2018-02-06 04:41:20
482520fb-8e69-48f4-8961-3b79e0bd9a44,46,2018-02-06 14:31:33
806057da-27ca-4726-85f4-528b828c6f8a,93,2018-02-07 23:57:12
fdd1ed13-4e10-4bae-8344-63501c51222f,21,2018-02-10 03:23:32
9976c7d6-4d58-4558-8d78-0c9328b73ae1,65,2018-02-10 03:34:30
9976c7d6-4d58-4558-8d78-0c9328b73ae1,18,2018-02-10 18:32:21
b21456e9-eb12-485e-bef1-bcae563e11b4,12,2018-02-11 05:47:07
5627c847-b50f-486a-ac01-fec29c5ee5b3,73,2018-02-11 22:59:08
e7f570bf-a190-47fe-9466-7711669513d1,64,2018-02-12 21:37:00
7d0a7207-fb42-41b6-b2b8-c49b3b6f6618,43,2018-02-12 22:56:58
b30b9e6a-95a5-44f6-bd9b-b89c252c6e3b,99,2018-02-12 23:19:17
7dfde3d5-cbcc-4ee9-a20f-21aeb4040bd1,62,2018-02-14 00:47:06
3b82d826-fa26-42bb-83c2-01b1a16c4e51,51,2018-02-14 08:40:48
b30b9e6a-95a5-44f6-bd9b-b89c252c6e3b,83,2018-02-14 17:01:05
e7f570bf-a190-47fe-9466-7711669513d1,93,2018-02-16 06:25:25
5f775fa4-0d79-4300-8553-e3c17d7d0a0f,97,2018-02-16 20:00:25
7696fa6d-9f61-44e5-b38b-726461631683,9,2018-02-17 07:14:02
a7221354-1cf2-474b-b0ec-c5d62aff2429,42,2018-02-17 10:39:42
b30b9e6a-95a5-44f6-bd9b-b89c252c6e3b,42,2018-02-17 20:48:47
63a02edc-682c-488a-a7ed-98c659b7e6d2,85,2018-02-18 10:10:17
ba28c03c-966a-4334-8cae-c426e9d83209,7,2018-02-19 00:49:45
a2d4f53c-f353-4bc0-9640-e3d8203af78e,37,2018-02-20 11:37:00
7f920fab-f166-4f50-9667-9bfce267c735,32,2018-02-20 13:15:04
9effa928-16c5-4438-ac9f-7ad852f5efa0,48,2018-02-20 22:56:42
7dfbd71b-a880-41b5-8549-8deb07374988,26,2018-02-22 01:18:13
dc1d4e1e-1e18-4dd2-a5c2-56f2c91f7820,22,2018-02-22 23:05:29
53d3af82-a9cc-4b30-89b4-2755f9beaaed,78,2018-02-23 08:46:03
1b317fd3-e9b7-4661-99d7-d7ae42a1e007,50,2018-02-23 13:42:12
53d3af82-a9cc-4b30-89b4-2755f9beaaed,70,2018-02-24 05:23:16
947ea6ee-ad41-49d4-a131-3b2fa18ca86b,76,2018-02-25 11:57:58
b21456e9-eb12-485e-bef1-bcae563e11b4,6,2018-02-25 15:43:07
7f920fab-f166-4f50-9667-9bfce267c735,96,2018-02-26 18:34:55
7dfbd71b-a880-41b5-8549-8deb07374988,10,2018-02-28 01:24:51
9effa928-16c5-4438-ac9f-7ad852f5efa0,72,2018-02-28 17:24:31
b76b02ce-f21f-4d42-8ebc-4223dc0980da,64,2018-03-01 17:38:59
a7221354-1cf2-474b-b0ec-c5d62aff2429,54,2018-03-02 18:32:14
30c77848-b0ca-4f48-a78c-b8923b8cf895,39,2018-03-03 00:19:24
53d3af82-a9cc-4b30-89b4-2755f9beaaed,22,2018-03-03 09:13:26
385fc5c2-299a-4f44-b79b-df22fc623278,42,2018-03-06 00:17:13
fbe7b364-b056-4a93-ab4a-1470077e9a4e,18,2018-03-06 00:57:04
fbe7b364-b056-4a93-ab4a-1470077e9a4e,21,2018-03-07 19:10:23
1b317fd3-e9b7-4661-99d7-d7ae42a1e007,36,2018-03-08 03:33:44
b30b9e6a-95a5-44f6-bd9b-b89c252c6e3b,49,2018-03-08 15:25:29
ad49f441-1695-4a70-bb60-8c7cce0b4008,53,2018-03-08 22:01:18
9976c7d6-4d58-4558-8d78-0c9328b73ae1,22,2018-03-10 09:49:05
e3951e68-19c2-4996-85cf-830d11f5bdfa,19,2018-03-10 23:32:49
a7221354-1cf2-474b-b0ec-c5d62aff2429,19,2018-03-12 01:49:34
65e4d7d5-5ccc-4fcf-8d36-1e617f16cb0a,56,2018-03-12 10:02:53
61b65069-1af1-40fb-8405-669349affd66,13,2018-03-13 20:13:56
184e96cf-84ce-40df-93c7-b3a89572e175,45,2018-03-15 05:40:36
c11a9aee-95eb-4863-8146-c4c3956d8a02,66,2018-03-15 12:23:59
132fe2fc-8919-4d1a-aa67-0ed5d5c875ee,15,2018-03-15 12:44:49
fe2c931c-4973-4c30-aec6-300aab577f02,46,2018-03-15 16:34:51
61b65069-1af1-40fb-8405-669349affd66,61,2018-03-16 10:01:47
e7f570bf-a190-47fe-9466-7711669513d1,77,2018-03-16 17:46:17
23631745-9811-4e90-8cae-f429c831ee7d,22,2018-03-17 10:33:22
a90ca77c-e839-460d-8047-b5bf1e70f471,39,2018-03-17 19:33:02
5b81f2c0-1925-4e6d-924d-f5323aafb9de,37,2018-03-20 01:54:40
b30b9e6a-95a5-44f6-bd9b-b89c252c6e3b,78,2018-03-20 19:10:49
9976c7d6-4d58-4558-8d78-0c9328b73ae1,93,2018-03-21 09:51:56
a2d4f53c-f353-4bc0-9640-e3d8203af78e,63,2018-03-21 19:59:03
fdd1ed13-4e10-4bae-8344-63501c51222f,44,2018-03-22 05:36:19
fe2c931c-4973-4c30-aec6-300aab577f02,65,2018-03-22 18:34:15
a90ca77c-e839-460d-8047-b5bf1e70f471,72,2018-03-26 02:52:27
a90ca77c-e839-460d-8047-b5bf1e70f471,44,2018-03-27 00:54:17
b76b02ce-f21f-4d42-8ebc-4223dc0980da,62,2018-03-28 16:41:03
05fad709-1d71-472d-95b8-71a60c6c1b25,19,2018-03-31 00:58:54
f7dab0ef-4c57-4221-b602-dcb71087dee8,63,2018-03-31 01:36:06
fbe7b364-b056-4a93-ab4a-1470077e9a4e,84,2018-03-31 06:50:35
3b82d826-fa26-42bb-83c2-01b1a16c4e51,97,2018-03-31 20:44:36
7dfde3d5-cbcc-4ee9-a20f-21aeb4040bd1,55,2018-04-01 05:24:24
9976c7d6-4d58-4558-8d78-0c9328b73ae1,79,2018-04-03 06:56:39
3ef77314-f52a-4c5d-9452-ce947222bb59,64,2018-04-03 21:03:53
806057da-27ca-4726-85f4-528b828c6f8a,33,2018-04-03 21:29:09
61b65069-1af1-40fb-8405-669349affd66,67,2018-04-04 07:17:40
42e952ee-8bb9-49ac-ba46-d7d9d4d92777,30,2018-04-04 15:12:00
fbe7b364-b056-4a93-ab4a-1470077e9a4e,42,2018-04-04 15:36:17
8e0b68d2-5449-4991-ad3e-fae5a8734981,94,2018-04-05 11:13:01
53d3af82-a9cc-4b30-89b4-2755f9beaaed,44,2018-04-05 13:51:17
fdd1ed13-4e10-4bae-8344-63501c51222f,18,2018-04-05 20:34:51
a2d4f53c-f353-4bc0-9640-e3d8203af78e,42,2018-04-05 23:39:40
fe2c931c-4973-4c30-aec6-300aab577f02,16,2018-04-08 01:42:38
cfe1b2b8-cf3a-4e7b-b211-6dccc4ba08ee,85,2018-04-08 08:22:31
385fc5c2-299a-4f44-b79b-df22fc623278,96,2018-04-08 12:37:51
92690d8f-94db-4af8-9959-64367e388883,52,2018-04-08 22:55:37
e3951e68-19c2-4996-85cf-830d11f5bdfa,53,2018-04-09 04:51:41
43b5898e-2898-4586-8366-7aeb34e951fa,19,2018-04-09 14:51:32
482520fb-8e69-48f4-8961-3b79e0bd9a44,41,2018-04-09 17:52:03
b21456e9-eb12-485e-bef1-bcae563e11b4,88,2018-04-12 08:19:32
5627c847-b50f-486a-ac01-fec29c5ee5b3,68,2018-04-12 17:29:22
0d924c07-26cd-4a08-880f-5c0f973db4a0,58,2018-04-12 20:51:26
482520fb-8e69-48f4-8961-3b79e0bd9a44,36,2018-04-13 02:41:33
7f920fab-f166-4f50-9667-9bfce267c735,91,2018-04-13 08:15:30
80108da1-eb03-467a-a297-b44f5724f9cb,65,2018-04-13 12:40:51
482520fb-8e69-48f4-8961-3b79e0bd9a44,80,2018-04-15 06:04:19
b21456e9-eb12-485e-bef1-bcae563e11b4,92,2018-04-15 17:35:19
9976c7d6-4d58-4558-8d78-0c9328b73ae1,86,2018-04-16 00:30:43
666e4f2f-ac77-416f-8932-b219ab61eeea,32,2018-04-16 05:09:44
806057da-27ca-4726-85f4-528b828c6f8a,10,2018-04-17 11:51:56
551e9c45-3490-49dc-8524-c97c5f2cce4f,78,2018-04-19 01:11:40
b21456e9-eb12-485e-bef1-bcae563e11b4,18,2018-04-21 13:47:47
c2f9a906-0756-4e6e-b21c-7fe80931e42d,93,2018-04-21 20:15:47
80108da1-eb03-467a-a297-b44f5724f9cb,69,2018-04-21 23:09:25
7696fa6d-9f61-44e5-b38b-726461631683,75,2018-04-22 09:42:29
b90a6273-37a4-4082-b0e7-916a7502f225,54,2018-04-23 03:07:12
63a02edc-682c-488a-a7ed-98c659b7e6d2,48,2018-04-23 11:46:16
b90a6273-37a4-4082-b0e7-916a7502f225,82,2018-04-23 17:53:34
ce6cbed7-58a7-4b93-96f5-b53b7550b2a5,62,2018-04-24 10:33:35
6c31f465-8df8-4630-8988-1dac1a950bed,100,2018-04-24 14:54:58
63a02edc-682c-488a-a7ed-98c659b7e6d2,16,2018-04-25 09:08:21
fe2c931c-4973-4c30-aec6-300aab577f02,50,2018-04-25 19:16:08
80108da1-eb03-467a-a297-b44f5724f9cb,71,2018-04-27 06:14:40
a7221354-1cf2-474b-b0ec-c5d62aff2429,65,2018-04-27 21:11:05
b30b9e6a-95a5-44f6-bd9b-b89c252c6e3b,64,2018-04-27 22:11:44
666e4f2f-ac77-416f-8932-b219ab61eeea,10,2018-04-28 06:19:13
3b7e01f7-6778-4bc0-b31d-7ec866ea8c95,81,2018-04-28 08:18:49
551e9c45-3490-49dc-8524-c97c5f2cce4f,50,2018-04-29 15:34:30
806057da-27ca-4726-85f4-528b828c6f8a,88,2018-04-29 16:12:35
3ef77314-f52a-4c5d-9452-ce947222bb59,35,2018-05-02 09:57:26
42e952ee-8bb9-49ac-ba46-d7d9d4d92777,51,2018-05-02 11:26:53
dc1d4e1e-1e18-4dd2-a5c2-56f2c91f7820,59,2018-05-03 09:08:13
523cde68-3d52-44ae-8e8d-cfd83ad877ca,52,2018-05-04 15:29:22
cb927c97-9025-40bb-a563-f20b644946c3,29,2018-05-04 22:43:34
ba28c03c-966a-4334-8cae-c426e9d83209,87,2018-05-06 00:09:11
cb927c97-9025-40bb-a563-f20b644946c3,14,2018-05-06 02:45:07
80108da1-eb03-467a-a297-b44f5724f9cb,7,2018-05-06 13:49:09
b90a6273-37a4-4082-b0e7-916a7502f225,16,2018-05-07 18:53:57
3b82d826-fa26-42bb-83c2-01b1a16c4e51,11,2018-05-09 11:22:41
5f775fa4-0d79-4300-8553-e3c17d7d0a0f,45,2018-05-10 04:37:36
132fe2fc-8919-4d1a-aa67-0ed5d5c875ee,99,2018-05-10 08:23:53
b76b02ce-f21f-4d42-8ebc-4223dc0980da,88,2018-05-10 13:33:58
30c77848-b0ca-4f48-a78c-b8923b8cf895,22,2018-05-11 20:36:48
b30b9e6a-95a5-44f6-bd9b-b89c252c6e3b,96,2018-05-12 12:41:29
ba28c03c-966a-4334-8cae-c426e9d83209,77,2018-05-13 08:39:57
666e4f2f-ac77-416f-8932-b219ab61eeea,77,2018-05-13 16:58:05
4c2047c8-c231-4699-95a4-dae918e96087,58,2018-05-13 18:20:01
551e9c45-3490-49dc-8524-c97c5f2cce4f,20,2018-05-14 03:07:21
fec31cda-d151-46bd-a5ee-d81cf9ae710d,67,2018-05-16 10:55:36
a7221354-1cf2-474b-b0ec-c5d62aff2429,70,2018-05-17 00:18:07
3b82d826-fa26-42bb-83c2-01b1a16c4e51,59,2018-05-19 14:04:31
551e9c45-3490-49dc-8524-c97c5f2cce4f,64,2018-05-19 23:20:09
e7f570bf-a190-47fe-9466-7711669513d1,11,2018-05-20 17:04:14
7696fa6d-9f61-44e5-b38b-726461631683,84,2018-05-20 18:15:12
3b82d826-fa26-42bb-83c2-01b1a16c4e51,76,2018-05-21 12:04:53
5b81f2c0-1925-4e6d-924d-f5323aafb9de,79,2018-05-21 23:40:17
482520fb-8e69-48f4-8961-3b79e0bd9a44,57,2018-05-22 10:01:24
23631745-9811-4e90-8cae-f429c831ee7d,11,2018-05-22 10:55:28
b90a6273-37a4-4082-b0e7-916a7502f225,8,2018-05-22 21:54:59
8e0b68d2-5449-4991-ad3e-fae5a8734981,64,2018-05-23 18:11:53
1b317fd3-e9b7-4661-99d7-d7ae42a1e007,58,2018-05-24 08:16:27
6c31f465-8df8-4630-8988-1dac1a950bed,44,2018-05-25 01:51:05
d0bffcfe-82f6-48a3-a408-ba4f96a1e9af,10,2018-05-25 02:58:36
6c31f465-8df8-4630-8988-1dac1a950bed,14,2018-05-25 09:21:20
7696fa6d-9f61-44e5-b38b-726461631683,10,2018-05-25 12:10:00
fdd1ed13-4e10-4bae-8344-63501c51222f,87,2018-05-25 13:49:55
b90a6273-37a4-4082-b0e7-916a7502f225,46,2018-05-27 00:30:46
b30b9e6a-95a5-44f6-bd9b-b89c252c6e3b,38,2018-05-28 05:14:14
4362791f-dea2-41d8-ac56-c80f811a8487,10,2018-05-29 04:34:07
947ea6ee-ad41-49d4-a131-3b2fa18ca86b,15,2018-05-29 22:43:49
aade9471-0b14-4331-a08c-00208b486af0,79,2018-05-30 15:33:57
9effa928-16c5-4438-ac9f-7ad852f5efa0,86,2018-05-31 00:53:01
666e4f2f-ac77-416f-8932-b219ab61eeea,29,2018-05-31 12:45:45
551e9c45-3490-49dc-8524-c97c5f2cce4f,26,2018-06-02 04:04:05
fdd1ed13-4e10-4bae-8344-63501c51222f,85,2018-06-03 04:28:35
afc114e2-099f-40f4-a376-2909774a9a7f,24,2018-06-03 07:48:35
0ebca960-337a-4ebd-be49-b7b427825840,6,2018-06-03 19:06:18
05fad709-1d71-472d-95b8-71a60c6c1b25,87,2018-06-05 22:44:47
a90ca77c-e839-460d-8047-b5bf1e70f471,87,2018-06-06 10:52:15
